year,pooleid,passed,passed_senate,n_bills
1953,1366,0,0,10
1954,1366,0,0,3
1955,1366,2,2,18
1956,1366,0,0,12
1957,1366,2,2,20
1958,1366,0,0,16
1959,4812,0,0,9
1960,4812,1,1,52
1961,4812,6,6,92
1962,4812,0,0,13
1959,1366,2,2,10
1960,1366,0,0,6
1961,1366,1,1,15
1962,1366,0,0,7
1963,4812,1,4,66
1963,1366,0,0,13
1963,10808,0,0,23
1964,4812,0,1,16
1964,1366,0,2,4
1964,10808,0,1,7
1965,4812,6,10,102
1966,4812,1,1,10
1965,1366,2,3,23
1965,10808,1,4,27
1966,10808,0,0,17
1966,1366,0,0,2
1967,4812,1,4,78
1967,10808,1,2,39
1967,1366,1,1,13
1968,1366,1,2,13
1968,4812,0,1,30
1968,10808,0,1,26
1969,10808,3,4,30
1969,4812,5,6,67
1969,1366,0,3,41
1970,4812,1,1,24
1970,10808,0,0,15
1970,1366,0,1,7
1972,10808,5,11,22
1972,4812,0,0,37
1971,4812,1,5,84
1971,1366,1,5,21
1971,10808,1,4,44
1972,1366,0,0,3
1973,10808,4,5,50
1973,4812,1,4,120
1973,1366,0,5,23
1974,4812,0,3,38
1974,10808,2,3,32
1974,1366,0,0,4
1975,10808,7,13,76
1975,4812,2,2,94
1975,1366,0,1,11
1976,1366,0,0,5
1976,4812,0,0,20
1976,10808,1,2,20
1977,10808,4,6,48
1977,4812,0,2,111
1977,1366,3,3,9
1978,10808,3,5,27
1978,4812,1,2,17
1978,1366,0,0,3
1979,4812,4,6,93
1979,10808,8,13,52
1979,1366,0,1,2
1980,4812,2,3,27
1980,10808,0,0,8
1980,1366,0,1,1
1981,1366,0,0,13
1981,4812,0,1,88
1981,10808,0,0,8
1982,4812,0,0,17
1982,1366,1,2,17
1982,10808,0,0,2
1983,4812,1,2,105
1983,1366,1,2,14
1983,10808,0,1,16
1984,4812,0,0,12
1984,10808,0,0,11
1984,1366,0,0,7
1985,4812,0,1,105
1985,1366,0,0,7
1985,10808,1,2,22
1986,10808,3,3,20
1986,1366,0,1,5
1986,4812,1,4,17
1987,4812,4,7,96
1987,10808,1,9,38
1987,1366,1,1,17
1988,10808,3,3,16
1988,4812,0,1,11
1988,1366,0,0,1
1989,1366,1,2,3
1989,10808,5,7,39
1989,4812,3,7,71
1990,4812,0,1,21
1990,10808,6,9,28
1990,1366,0,0,1
1991,10808,6,9,50
1991,4812,4,8,72
1991,1366,0,0,0
1992,10808,5,8,28
1992,1366,0,0,6
1992,4812,1,3,22
1993,10808,3,9,36
1993,4812,1,2,64
1993,1366,0,0,2
1994,1366,0,0,1
1994,10808,0,2,15
1994,4812,0,0,16
1995,4812,0,2,44
1995,10808,0,0,9
1995,1366,0,0,2
1996,4812,0,1,4
1996,10808,0,0,5
1996,1366,0,0,1
1997,4812,0,1,38
1997,10808,0,0,17
1997,1366,0,0,3
1998,10808,0,0,14
1998,1366,0,0,3
1998,4812,0,0,4
1999,4812,0,3,42
1999,10808,1,2,18
1999,1366,0,0,0
2000,10808,0,0,18
2000,4812,1,2,4
2000,1366,0,2,2
2001,4812,0,1,39
2001,1366,0,0,4
2001,10808,2,4,28
2002,10808,0,0,23
2002,4812,0,2,5
2002,1366,0,0,2
2003,4812,0,0,40
2003,10808,0,1,25
2003,1366,1,1,5
2004,10808,0,0,18
2004,4812,0,3,8
2004,1366,0,0,2
2005,10808,0,1,33
2005,4812,2,4,42
2005,1366,0,1,6
2006,10808,0,0,24
2006,1366,0,0,3
2006,4812,0,0,2
2007,4812,2,2,47
2007,10808,6,10,61
2007,1366,0,0,5
2008,10808,7,7,22
2008,4812,1,2,7
2008,1366,0,0,2
2009,4812,0,0,39
2009,10808,1,1,14
2009,1366,0,0,4
2010,4812,0,1,5
2011,4812,0,0,38
2012,4812,0,0,2
1953,average,2.4990403071017275,3.057581573896353,18.163147792706333
1954,average,0.787109375,1.052734375,9.21484375
1955,average,2.603448275862069,3.39272030651341,20.36015325670498
1956,average,0.7049808429118773,1.0727969348659003,11.789272030651341
1957,average,2.081593927893738,2.781783681214421,23.757115749525617
1958,average,0.748062015503876,0.9127906976744186,11.017441860465116
1959,average,1.790566037735849,2.2943396226415094,22.711320754716983
1960,average,0.49902912621359224,0.6990291262135923,10.083495145631067
1961,average,1.8142589118198875,2.279549718574109,22.74671669793621
1962,average,0.654368932038835,0.8388349514563107,9.914563106796116
1963,average,1.25140712945591,1.6904315196998123,22.47842401500938
1964,average,0.3155818540433925,0.41420118343195267,8.08284023668639
1965,average,1.4887218045112782,1.9229323308270676,27.419172932330827
1966,average,0.5653846153846154,0.7211538461538461,15.184615384615384
1967,average,1.1132075471698113,1.6867924528301887,32.85849056603774
1968,average,0.3230174081237911,0.4912959381044487,14.257253384912959
1969,average,1.2041198501872659,1.6348314606741574,35.08988764044944
1970,average,0.3838771593090211,0.5355086372360844,11.310940499040306
1971,average,0.9754716981132076,1.3339622641509434,29.08301886792453
1972,average,0.28599221789883267,0.4027237354085603,11.573929961089494
1973,average,0.7201492537313433,0.878731343283582,28.005597014925375
1974,average,0.34541984732824427,0.40458015267175573,13.244274809160306
1975,average,0.6754221388367729,0.9812382739212008,26.626641651031896
1976,average,0.32122370936902483,0.43021032504780116,10.648183556405353
1977,average,0.6791744840525328,0.9193245778611632,24.01688555347092
1978,average,0.3911368015414258,0.4951830443159923,10.104046242774567
1979,average,0.6634980988593155,0.8669201520912547,16.007604562737644
1980,average,0.3641851106639839,0.4909456740442656,6.641851106639839
1981,average,0.4158790170132325,0.5671077504725898,13.824196597353497
1982,average,0.26810176125244617,0.3679060665362035,6.395303326810176
1983,average,0.5572519083969466,0.7652671755725191,12.937022900763358
1984,average,0.2725409836065574,0.38114754098360654,5.653688524590164
1985,average,0.44701348747591524,0.6435452793834296,11.58188824662813
1986,average,0.275,0.39375,5.595833333333333
1987,average,0.5315487571701721,0.8604206500956023,11.162523900573614
1988,average,0.39094650205761317,0.5267489711934157,5.495884773662551
1989,average,0.478584729981378,0.7988826815642458,10.886405959031658
1990,average,0.3182711198428291,0.48526522593320237,6.68369351669941
1991,average,0.48582230623818523,0.8582230623818525,11.735349716446125
1992,average,0.31673306772908366,0.5298804780876494,6.760956175298805
1993,average,0.4751908396946565,0.7080152671755725,10.505725190839694
1994,average,0.2334710743801653,0.3409090909090909,4.904958677685951
1995,average,0.381139489194499,0.6208251473477406,8.554027504911591
1996,average,0.24301075268817204,0.34623655913978496,4.7075268817204305
1997,average,0.490272373540856,0.7237354085603113,9.058365758754864
1998,average,0.22336065573770492,0.3975409836065574,5.887295081967213
1999,average,0.6497175141242938,0.9981167608286252,10.384180790960452
2000,average,0.3698630136986301,0.4892367906066536,6.759295499021526
2001,average,0.45368620037807184,0.6862003780718336,10.379962192816635
2002,average,0.2047244094488189,0.3110236220472441,6.801181102362205
2003,average,0.626641651031895,0.9212007504690432,10.697936210131331
2004,average,0.3207171314741036,0.4760956175298805,5.50597609561753
2005,average,0.5876865671641791,0.8675373134328358,12.723880597014926
2006,average,0.3016194331983806,0.38461538461538464,7.566801619433198
2007,average,0.5437616387337058,0.6797020484171322,13.880819366852887
2008,average,0.30278884462151395,0.3426294820717131,7.225099601593626
2009,average,0.4199623352165725,0.6591337099811676,13.807909604519773
2010,average,0.27976190476190477,0.4305555555555556,6.541666666666667
2011,average,0.2781954887218045,0.41353383458646614,10.87781954887218
2012,average,0.0872210953346856,0.23529411764705882,9.089249492900608
